date,name,value
05-04-2020,RÍO NEGRO,17
05-04-2020,ENTRE RÍOS,19
05-04-2020,CORRIENTES,22
05-04-2020,TUCUMÁN,22
05-04-2020,SANTA CRUZ,23
05-04-2020,MENDOZA,29
05-04-2020,NEUQUÉN,44
05-04-2020,TIERRA DEL FUEGO,75
05-04-2020,CHACO,115
05-04-2020,CÓRDOBA,138
05-04-2020,SANTA FE,176
05-04-2020,BUENOS AIRES,397
05-04-2020,CABA,439
06-04-2020,SAN JUAN,1
06-04-2020,MISIONES,3
06-04-2020,LA PAMPA,3
06-04-2020,SALTA,3
06-04-2020,CHUBUT,4
06-04-2020,JUJUY,5
06-04-2020,LA RIOJA,9
06-04-2020,SANTIAGO DEL ESTERO,9
06-04-2020,SAN LUIS,11
06-04-2020,RÍO NEGRO,19
06-04-2020,ENTRE RÍOS,19
06-04-2020,SANTA CRUZ,23
06-04-2020,CORRIENTES,24
06-04-2020,TUCUMÁN,27
06-04-2020,MENDOZA,30
06-04-2020,NEUQUÉN,50
06-04-2020,TIERRA DEL FUEGO,77
06-04-2020,CHACO,119
06-04-2020,CÓRDOBA,145
06-04-2020,SANTA FE,184
06-04-2020,BUENOS AIRES,409
06-04-2020,CABA,456
07-04-2020,SAN JUAN,1
07-04-2020,MISIONES,3
07-04-2020,LA PAMPA,3
07-04-2020,SALTA,3
07-04-2020,CHUBUT,4
07-04-2020,JUJUY,5
07-04-2020,LA RIOJA,9
07-04-2020,SANTIAGO DEL ESTERO,9
07-04-2020,SAN LUIS,11
07-04-2020,ENTRE RÍOS,20
07-04-2020,RÍO NEGRO,21
07-04-2020,CORRIENTES,24
07-04-2020,TUCUMÁN,28
07-04-2020,SANTA CRUZ,31
07-04-2020,MENDOZA,32
07-04-2020,NEUQUÉN,53
07-04-2020,TIERRA DEL FUEGO,79
07-04-2020,CHACO,123
07-04-2020,CÓRDOBA,149
07-04-2020,SANTA FE,187
07-04-2020,BUENOS AIRES,443
07-04-2020,CABA,480
08-04-2020,SAN JUAN,1
08-04-2020,MISIONES,3
08-04-2020,SALTA,3
08-04-2020,LA PAMPA,4
08-04-2020,CHUBUT,4
08-04-2020,JUJUY,5
08-04-2020,LA RIOJA,9
08-04-2020,SANTIAGO DEL ESTERO,9
08-04-2020,SAN LUIS,11
08-04-2020,ENTRE RÍOS,20
08-04-2020,RÍO NEGRO,22
08-04-2020,CORRIENTES,24
08-04-2020,TUCUMÁN,28
08-04-2020,SANTA CRUZ,31
08-04-2020,MENDOZA,38
08-04-2020,NEUQUÉN,70
08-04-2020,TIERRA DEL FUEGO,81
08-04-2020,CHACO,138
08-04-2020,CÓRDOBA,150
08-04-2020,SANTA FE,189
08-04-2020,BUENOS AIRES,460
08-04-2020,CABA,498
09-04-2020,SAN JUAN,1
09-04-2020,MISIONES,3
09-04-2020,SALTA,3
09-04-2020,LA PAMPA,4
09-04-2020,CHUBUT,4
09-04-2020,JUJUY,5
09-04-2020,SANTIAGO DEL ESTERO,9
09-04-2020,SAN LUIS,11
09-04-2020,LA RIOJA,14
09-04-2020,ENTRE RÍOS,21
09-04-2020,CORRIENTES,24
09-04-2020,TUCUMÁN,29
09-04-2020,RÍO NEGRO,31
09-04-2020,SANTA CRUZ,31
09-04-2020,MENDOZA,40
09-04-2020,NEUQUÉN,77
09-04-2020,TIERRA DEL FUEGO,81
09-04-2020,CHACO,144
09-04-2020,CÓRDOBA,155
09-04-2020,SANTA FE,196
09-04-2020,BUENOS AIRES,488
09-04-2020,CABA,521
10-04-2020,SAN JUAN,1
10-04-2020,MISIONES,3
10-04-2020,SALTA,3
10-04-2020,CHUBUT,4
10-04-2020,JUJUY,5
10-04-2020,LA PAMPA,5
10-04-2020,SANTIAGO DEL ESTERO,9
10-04-2020,SAN LUIS,11
10-04-2020,LA RIOJA,14
10-04-2020,ENTRE RÍOS,21
10-04-2020,CORRIENTES,24
10-04-2020,TUCUMÁN,29
10-04-2020,SANTA CRUZ,37
10-04-2020,RÍO NEGRO,41
10-04-2020,MENDOZA,49
10-04-2020,TIERRA DEL FUEGO,83
10-04-2020,NEUQUÉN,84
10-04-2020,CHACO,149
10-04-2020,CÓRDOBA,168
10-04-2020,SANTA FE,197
10-04-2020,BUENOS AIRES,507
10-04-2020,CABA,532
11-04-2020,SAN JUAN,2
11-04-2020,MISIONES,3
11-04-2020,SALTA,3
11-04-2020,CHUBUT,4
11-04-2020,JUJUY,5
11-04-2020,LA PAMPA,5
11-04-2020,SAN LUIS,11
11-04-2020,SANTIAGO DEL ESTERO,12
11-04-2020,LA RIOJA,18
11-04-2020,ENTRE RÍOS,21
11-04-2020,CORRIENTES,24
11-04-2020,TUCUMÁN,30
11-04-2020,SANTA CRUZ,40
11-04-2020,MENDOZA,54
11-04-2020,RÍO NEGRO,64
11-04-2020,NEUQUÉN,85
11-04-2020,TIERRA DEL FUEGO,91
11-04-2020,CHACO,149
11-04-2020,CÓRDOBA,200
11-04-2020,SANTA FE,200
11-04-2020,BUENOS AIRES,544
11-04-2020,CABA,578
12-04-2020,SAN JUAN,2
12-04-2020,MISIONES,3
12-04-2020,SALTA,3
12-04-2020,CHUBUT,4
12-04-2020,JUJUY,5
12-04-2020,LA PAMPA,5
12-04-2020,SAN LUIS,11
12-04-2020,SANTIAGO DEL ESTERO,12
12-04-2020,LA RIOJA,19
12-04-2020,ENTRE RÍOS,21
12-04-2020,CORRIENTES,24
12-04-2020,TUCUMÁN,30
12-04-2020,SANTA CRUZ,40
12-04-2020,MENDOZA,57
12-04-2020,RÍO NEGRO,77
12-04-2020,NEUQUÉN,86
12-04-2020,TIERRA DEL FUEGO,95
12-04-2020,CHACO,150
12-04-2020,SANTA FE,203
12-04-2020,CÓRDOBA,205
12-04-2020,BUENOS AIRES,572
12-04-2020,CABA,586
13-04-2020,SAN JUAN,2
13-04-2020,MISIONES,3
13-04-2020,SALTA,3
13-04-2020,CHUBUT,4
13-04-2020,JUJUY,5
13-04-2020,LA PAMPA,5
13-04-2020,SAN LUIS,11
13-04-2020,SANTIAGO DEL ESTERO,12
13-04-2020,LA RIOJA,21
13-04-2020,ENTRE RÍOS,21
13-04-2020,TUCUMÁN,30
13-04-2020,CORRIENTES,31
13-04-2020,SANTA CRUZ,40
13-04-2020,MENDOZA,59
13-04-2020,RÍO NEGRO,80
13-04-2020,NEUQUÉN,88
13-04-2020,TIERRA DEL FUEGO,99
13-04-2020,CHACO,153
13-04-2020,SANTA FE,205
13-04-2020,CÓRDOBA,209
13-04-2020,CABA,596
13-04-2020,BUENOS AIRES,601
14-04-2020,SAN JUAN,2
14-04-2020,MISIONES,3
14-04-2020,SALTA,3
14-04-2020,CHUBUT,4
14-04-2020,JUJUY,5
14-04-2020,LA PAMPA,5
14-04-2020,SAN LUIS,11
14-04-2020,SANTIAGO DEL ESTERO,12
14-04-2020,ENTRE RÍOS,21
14-04-2020,LA RIOJA,27
14-04-2020,TUCUMÁN,30
14-04-2020,CORRIENTES,31
14-04-2020,SANTA CRUZ,40
14-04-2020,MENDOZA,62
14-04-2020,NEUQUÉN,90
14-04-2020,RÍO NEGRO,93
14-04-2020,TIERRA DEL FUEGO,107
14-04-2020,CHACO,184
14-04-2020,SANTA FE,207
14-04-2020,CÓRDOBA,221
14-04-2020,CABA,618
14-04-2020,BUENOS AIRES,667
15-04-2020,SAN JUAN,2
15-04-2020,MISIONES,3
15-04-2020,SALTA,3
15-04-2020,CHUBUT,4
15-04-2020,JUJUY,5
15-04-2020,LA PAMPA,5
15-04-2020,SAN LUIS,11
15-04-2020,SANTIAGO DEL ESTERO,12
15-04-2020,ENTRE RÍOS,21
15-04-2020,LA RIOJA,30
15-04-2020,TUCUMÁN,30
15-04-2020,CORRIENTES,31
15-04-2020,SANTA CRUZ,40
15-04-2020,MENDOZA,63
15-04-2020,NEUQUÉN,91
15-04-2020,RÍO NEGRO,105
15-04-2020,TIERRA DEL FUEGO,110
15-04-2020,CHACO,191
15-04-2020,SANTA FE,209
15-04-2020,CÓRDOBA,227
15-04-2020,CABA,648
15-04-2020,BUENOS AIRES,729
16-04-2020,SAN JUAN,2
16-04-2020,MISIONES,3
16-04-2020,SALTA,3
16-04-2020,CHUBUT,4
16-04-2020,JUJUY,5
16-04-2020,LA PAMPA,5
16-04-2020,SAN LUIS,11
16-04-2020,SANTIAGO DEL ESTERO,12
16-04-2020,ENTRE RÍOS,22
16-04-2020,TUCUMÁN,30
16-04-2020,CORRIENTES,31
16-04-2020,LA RIOJA,33
16-04-2020,SANTA CRUZ,40
16-04-2020,MENDOZA,68
16-04-2020,NEUQUÉN,92
16-04-2020,RÍO NEGRO,114
16-04-2020,TIERRA DEL FUEGO,117
16-04-2020,CHACO,202
16-04-2020,SANTA FE,212
16-04-2020,CÓRDOBA,240
